"Account Name","Street","City","State","Zip Code","Main Phone","Website"
"A.G.P. / Alliance Global Partners, LLC","88 Post Road West 2nd Floor","Westport","Connecticut","06880","(203) 662-9700","https://allianceg.com"
"ABN AMRO Clearing USA LLC","175 W. Jackson Boulevard, Suite 2050","Chicago","Illinois","60604","(312) 604-8000","www.abnamroclearing.com/en"
"ARC Group Securities LLC","380 Bretano Way","Greenbrae","California","94904","623-275-9575","https://arc-securities.com/"
"Alexander Capital, L.P.","17 State St","New York","New York","10004","","alexandercapitallp.com"
"Alpha Trading L.P.","Allied Tower, 13th Floor
1 Yael Man St.
P.O. Box 13","Ramat HaSharon","","4734501","(408) 990-1940","https://www.alpha-trading.com"
"AmerX","40 Wall Street, Ste 1704","New York","New York","10005","(212) 306-2700","https://www.amerx.com"
"American Capital Partners LLC","205 Oser Ave","Hauppauge","New York","11788","(631) 851-0918","www.americancapitalpartners.com"
"American Trust Investment Services, Inc.","1244 119th Street,","Whiting","Indiana","46394","(949) 524-2742","www.amtruinvest.com"
"Apex Clearing Corporation","One Dallas Center 350 N. St. Paul, Suite 1300","Dallas","Texas","75201","(214) 765-1100","www.apexclearing.com"
"Archipelago Securities L.L.C.","353 N Clark St, Suite 3200","Chicago","Illinois","60654","(312) 836-6700","www.nyse.com"
"Axos Clearing LLC","15950 West Dodge Road
Suite 300","Omaha","Nebraska","68118","(402) 384-6100","www.axosclearing.com"
"BMO Capital Markets Corp.","151 West 42nd Street
9th Floor","New York","New York","10036","(212) 702-1200","www.bmocm.com"
"BNP Paribas Securities Corp.","787 7th Avenue","New York","New York","10019","(212) 841-3000","www.bnpparibas-us-info.com"
"BTG PACTUAL US CAPITAL, LLC","601 Lexington Avenue","New York","New York","10022","(212) 293-4600","www.btgpactual.us"
"BTIG, LLC","350 Bush Street, 9th Floor","San Francisco","California","94104","(415) 248-2200","www.btig.com"
"Bancroft Capital, LLC","501 Office Center Drive, Suite 130","Fort Washington","Pennsylvania","19034","(484) 686-0346","https://www.bancroft4vets.com/"
"Barclays Capital Inc.","745 Seventh Avenue","New York","New York","10019","(212) 526-7000","www.barcap.com"
"Bay Crest Partners, LLC","40 Wall Street, 42nd Floor","New York","New York","10005","(212) 480-1400","www.baycny.com"
"Beacons Strategic Capital, Inc.","11 Wall Street","New York","New York","10005","(212) 480-2640","www.mullerequities.com"
